IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.20.114,2082,2082,false,SIN,Asia Pacific,Singapore,28,13.57
47.236.109.115,2087,2087,true,SIN,Asia Pacific,Singapore,113,13.57
8.219.245.232,2053,2053,true,SIN,Asia Pacific,Singapore,148,13.57
8.219.250.239,80,80,false,SIN,Asia Pacific,Singapore,15,13.57
8.222.144.50,2083,2083,true,SIN,Asia Pacific,Singapore,93,13.56
47.236.11.68,2083,2083,true,SIN,Asia Pacific,Singapore,77,13.56
47.236.83.196,2087,2087,true,SIN,Asia Pacific,Singapore,185,13.55
8.219.141.174,2095,2095,false,SIN,Asia Pacific,Singapore,16,13.55
8.222.229.22,2083,2083,true,SIN,Asia Pacific,Singapore,180,13.55
47.245.90.176,2052,2052,false,SIN,Asia Pacific,Singapore,4,13.55
8.217.145.40,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,13.54
8.219.253.185,8443,8443,true,SIN,Asia Pacific,Singapore,111,13.54
47.236.109.115,8443,8443,true,SIN,Asia Pacific,Singapore,140,13.54
8.219.204.120,8443,8443,true,SIN,Asia Pacific,Singapore,169,13.54
8.219.241.189,2096,2096,true,SIN,Asia Pacific,Singapore,112,13.54
47.236.92.191,2082,2082,false,SIN,Asia Pacific,Singapore,11,13.53
47.236.79.87,2086,2086,false,SIN,Asia Pacific,Singapore,17,13.53
8.219.206.53,80,80,false,SIN,Asia Pacific,Singapore,16,13.52
8.222.224.162,8880,8880,false,SIN,Asia Pacific,Singapore,6,13.52
8.219.63.66,2082,2082,false,SIN,Asia Pacific,Singapore,9,13.52
8.222.208.83,80,80,false,SIN,Asia Pacific,Singapore,17,13.52
8.219.101.138,80,80,false,SIN,Asia Pacific,Singapore,16,13.52
8.222.223.34,2087,2087,true,SIN,Asia Pacific,Singapore,101,13.51
8.219.13.143,443,443,true,SIN,Asia Pacific,Singapore,84,13.51
8.222.129.245,2083,2083,true,SIN,Asia Pacific,Singapore,102,13.50
8.218.142.253,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,13.50
8.219.12.152,8880,8880,false,SIN,Asia Pacific,Singapore,7,13.50
8.219.242.131,2087,2087,true,SIN,Asia Pacific,Singapore,138,13.50
8.222.244.123,8080,8080,false,SIN,Asia Pacific,Singapore,4,13.50
8.222.204.110,2052,2052,false,SIN,Asia Pacific,Singapore,12,13.49
8.219.204.120,2087,2087,true,SIN,Asia Pacific,Singapore,202,13.49
8.222.190.225,8443,8443,true,SIN,Asia Pacific,Singapore,83,13.49
8.222.212.172,8880,8880,false,SIN,Asia Pacific,Singapore,6,13.49
8.219.129.38,2082,2082,false,SIN,Asia Pacific,Singapore,5,13.49
47.76.178.146,8443,8443,true,HKG,Asia Pacific,Hong Kong,70,13.49
8.219.77.91,8443,8443,true,SIN,Asia Pacific,Singapore,62,13.48
8.219.222.98,2087,2087,true,SIN,Asia Pacific,Singapore,117,13.48
8.219.82.177,2083,2083,true,SIN,Asia Pacific,Singapore,97,13.48
8.217.147.230,2082,2082,false,HKG,Asia Pacific,Hong Kong,83,13.47
8.218.143.10,2053,2053,true,HKG,Asia Pacific,Hong Kong,79,13.47
8.217.207.60,8080,8080,false,HKG,Asia Pacific,Hong Kong,38,13.47
47.236.17.165,2082,2082,false,SIN,Asia Pacific,Singapore,22,13.47
47.236.29.235,2086,2086,false,SIN,Asia Pacific,Singapore,13,13.47
8.219.13.143,8880,8880,false,SIN,Asia Pacific,Singapore,4,13.46
8.219.6.157,2053,2053,true,SIN,Asia Pacific,Singapore,96,13.46
47.236.148.174,2096,2096,true,SIN,Asia Pacific,Singapore,179,13.46
8.219.179.34,2087,2087,true,SIN,Asia Pacific,Singapore,273,13.45
8.219.177.205,2052,2052,false,SIN,Asia Pacific,Singapore,7,13.45
47.236.116.208,2083,2083,true,SIN,Asia Pacific,Singapore,103,13.44
8.222.226.15,2082,2082,false,SIN,Asia Pacific,Singapore,5,13.44
47.236.233.166,2095,2095,false,SIN,Asia Pacific,Singapore,12,13.43
8.222.212.172,8443,8443,true,SIN,Asia Pacific,Singapore,85,13.43
8.222.211.16,2053,2053,true,SIN,Asia Pacific,Singapore,168,13.43
47.236.7.13,8443,8443,true,SIN,Asia Pacific,Singapore,147,13.43
8.219.6.187,2086,2086,false,SIN,Asia Pacific,Singapore,17,13.43
8.219.210.93,8443,8443,true,SIN,Asia Pacific,Singapore,129,13.42
47.236.83.239,2083,2083,true,SIN,Asia Pacific,Singapore,141,13.42
8.222.168.234,8880,8880,false,SIN,Asia Pacific,Singapore,20,13.41
8.222.193.208,2052,2052,false,SIN,Asia Pacific,Singapore,19,13.41
47.236.90.62,2083,2083,true,SIN,Asia Pacific,Singapore,87,13.40
47.236.109.115,2095,2095,false,SIN,Asia Pacific,Singapore,55,13.40
8.219.198.139,2082,2082,false,SIN,Asia Pacific,Singapore,36,13.40
47.236.164.215,2082,2082,false,SIN,Asia Pacific,Singapore,19,13.39
8.219.218.21,2096,2096,true,SIN,Asia Pacific,Singapore,58,13.39
8.222.219.34,2095,2095,false,SIN,Asia Pacific,Singapore,9,13.39
